bin,delay_avg,jitter_avg,n
1-1000,2423.0,608.4,1000
1001-2000,3601.6,1037.4,1000
2001-3000,4597.3,956.9,1000
3001-4000,4221.8,1150.8,1000
4001-5000,3373.0,1250.8,1000
5001-6000,3008.9,903.1,1000
6001-7000,6336.5,1166.4,1000
7001-8000,3370.9,1062.5,1000
8001-9000,5537.9,1244.7,1000
9001-10000,2946.1,1029.1,1000
10001-11000,6150.4,1033.7,1000
11001-12000,5601.0,1358.4,1000
12001-13000,3445.3,995.9,1000
13001-14000,5407.4,1302.4,1000
14001-15000,3108.5,890.3,1000
15001-16000,2577.9,713.6,1000
16001-17000,11982.3,724.3,1000
17001-18000,2053.2,615.2,1000
18001-19000,2255.2,444.5,1000
19001-20000,2295.6,624.6,1000
20001-21000,1987.7,639.6,1000
21001-22000,2299.2,485.7,1000
22001-23000,2673.5,757.6,1000
23001-24000,1414.7,527.5,1000
24001-25000,1633.1,523.0,1000
25001-26000,1593.2,446.6,1000
26001-27000,2026.2,588.4,1000
27001-28000,1786.2,528.4,1000
28001-29000,1490.3,408.8,1000
29001-30000,1544.2,489.7,1000
30001-31000,2150.4,555.5,1000
31001-32000,1851.3,545.9,1000
32001-33000,1931.1,578.2,1000
33001-34000,1996.2,647.4,1000
34001-35000,2050.9,620.8,1000
35001-36000,2131.3,595.9,1000
36001-37000,1973.8,611.7,1000
37001-38000,1831.4,508.6,1000
38001-39000,1360.8,421.4,1000
39001-40000,1850.8,463.9,1000
40001-41000,2041.6,548.3,1000
41001-42000,1386.2,442.5,1000
42001-43000,1649.5,484.9,1000
43001-44000,1711.7,504.8,1000
44001-45000,1753.9,500.7,1000
45001-46000,1872.6,596.2,1000
46001-47000,1310.8,414.9,1000
47001-48000,1863.9,561.3,1000
48001-49000,2660.7,699.7,1000
49001-50000,2777.2,546.4,1000
50001-51000,3558.9,644.7,1000
51001-52000,1682.4,520.7,1000
52001-53000,3178.7,716.9,1000
53001-54000,5967.2,1179.6,1000
54001-55000,3579.8,830.4,1000
55001-56000,2466.7,802.9,1000
56001-57000,6771.2,489.9,1000
57001-58000,2432.2,611.4,1000
58001-59000,2955.1,613.3,1000
59001-60000,1831.4,612.0,1000
60001-61000,5892.6,593.5,1000
61001-62000,1957.4,510.8,1000
62001-63000,2461.4,607.9,1000
63001-64000,5062.9,534.8,1000
64001-65000,2137.7,541.6,1000
65001-66000,1729.8,512.4,1000
66001-67000,3076.8,632.3,1000
67001-68000,1512.3,471.9,1000
68001-69000,1405.7,454.7,1000
69001-70000,1833.7,558.7,1000
70001-71000,1801.3,514.9,1000
71001-72000,1995.3,557.6,1000
72001-73000,2787.7,522.5,1000
73001-74000,1524.4,510.5,1000
74001-75000,2041.5,504.6,1000
75001-76000,1917.5,571.7,1000
76001-77000,1614.4,447.7,1000
77001-78000,2034.5,510.4,1000
78001-79000,4215.8,601.7,1000
79001-80000,3285.4,641.7,1000
80001-81000,2223.5,619.9,1000
81001-82000,2158.1,559.9,1000
82001-83000,1570.3,468.1,1000
83001-84000,1465.9,414.5,1000
84001-85000,1993.6,549.0,1000
85001-86000,1419.6,453.4,1000
86001-87000,5226.2,691.5,1000
87001-88000,2167.3,590.4,1000
88001-89000,1805.6,581.7,1000
89001-90000,1840.0,521.3,1000
90001-91000,1625.0,549.3,1000
91001-92000,6390.4,694.2,1000
92001-93000,1963.5,501.4,1000
93001-94000,1761.9,526.3,1000
94001-95000,1756.7,579.9,1000
95001-96000,2874.6,585.1,1000
96001-97000,1358.2,381.6,1000
97001-98000,1951.4,586.8,1000
98001-99000,1717.3,495.2,1000
99001-100000,665.3,258.2,1000
