bin,delay_avg,jitter_avg,n
1-1000,1363.8,590.2,701
1001-2000,1627.4,639.7,651
2001-3000,1784.9,648.1,656
3001-4000,1216.9,661.3,660
4001-5000,1269.3,638.3,674
5001-6000,1242.8,727.3,659
6001-7000,1335.7,617.0,670
7001-8000,1542.0,746.4,657
8001-9000,1224.7,657.9,681
9001-10000,1092.4,619.9,665
10001-11000,1188.7,560.2,702
11001-12000,1342.5,645.5,664
12001-13000,1721.3,728.5,678
13001-14000,1524.2,723.9,633
14001-15000,2330.4,809.9,685
15001-16000,2902.1,1019.3,826
16001-17000,1121.2,609.8,705
17001-18000,1893.1,954.6,819
18001-19000,3490.0,1070.8,869
19001-20000,20012.3,1403.1,893
20001-21000,2505.2,990.8,886
21001-22000,5845.4,1438.6,906
22001-23000,3441.2,1136.7,886
23001-24000,3109.4,1082.6,895
24001-25000,2444.8,1034.2,822
25001-26000,1971.0,770.3,703
26001-27000,6962.7,1274.1,886
27001-28000,7760.0,1276.1,893
28001-29000,4990.3,1265.1,869
29001-30000,2842.5,945.6,894
30001-31000,4218.0,1307.7,865
31001-32000,3043.2,1260.9,879
32001-33000,2808.5,1160.0,884
33001-34000,2697.2,1096.3,863
34001-35000,4154.2,1280.7,898
35001-36000,2538.4,1003.5,901
36001-37000,2801.4,1291.4,900
37001-38000,1822.3,756.9,720
38001-39000,1045.8,589.0,698
39001-40000,1633.8,766.9,645
40001-41000,2653.0,769.2,658
41001-42000,2327.0,773.8,679
42001-43000,1215.4,610.2,713
43001-44000,1795.0,1042.6,683
44001-45000,1332.6,713.0,662
45001-46000,1160.3,641.0,682
46001-47000,1088.9,622.8,673
47001-48000,1244.2,583.4,674
48001-49000,1243.4,690.4,692
49001-50000,1367.8,747.0,647
50001-51000,1169.3,600.4,668
51001-52000,1506.5,683.5,661
52001-53000,1225.2,624.2,669
53001-54000,1134.9,610.8,658
54001-55000,1448.6,798.3,651
55001-56000,945.8,501.2,666
56001-57000,1370.6,708.3,676
57001-58000,1383.8,642.2,673
58001-59000,2348.6,780.9,683
59001-60000,1418.2,701.5,658
60001-61000,1379.7,755.7,696
61001-62000,1253.8,602.6,659
62001-63000,1099.4,570.1,691
63001-64000,1420.6,893.8,660
64001-65000,1468.4,644.3,692
65001-66000,1173.3,668.0,685
66001-67000,1291.5,635.4,676
67001-68000,1398.7,777.8,660
68001-69000,5601.7,1024.0,784
69001-70000,3003.9,1016.5,893
70001-71000,20819.7,1020.9,905
71001-72000,2971.6,1084.9,885
72001-73000,5261.9,1439.8,925
73001-74000,6259.6,1184.6,927
74001-75000,4492.1,980.2,829
75001-76000,9706.6,645.8,712
76001-77000,9982.0,746.5,724
77001-78000,1205.1,555.9,696
78001-79000,1309.1,530.4,722
79001-80000,1039.0,559.9,683
80001-81000,939.5,503.5,688
81001-82000,1437.0,692.9,644
82001-83000,1309.0,693.4,655
83001-84000,1436.6,589.9,682
84001-85000,1132.4,620.1,706
85001-86000,1548.6,718.1,858
86001-87000,2217.9,988.8,822
87001-88000,1040.4,548.1,713
88001-89000,1770.9,667.6,721
89001-90000,909.0,529.3,700
90001-91000,1068.0,579.6,740
91001-92000,3567.3,801.9,734
92001-93000,1816.9,501.3,710
93001-94000,1710.6,528.7,699
94001-95000,6019.5,645.5,693
95001-96000,1096.3,552.1,696
96001-97000,1319.2,628.6,720
97001-98000,885.2,397.5,702
98001-99000,3169.4,842.6,643
99001-100000,1292.6,622.5,684
