bin,delay_avg,jitter_avg,n
1-1000,852.6,531.6,656
1001-2000,608.1,372.6,699
2001-3000,1030.0,614.5,665
3001-4000,781.7,451.1,669
4001-5000,737.6,443.3,652
5001-6000,1025.5,521.9,671
6001-7000,842.9,467.7,661
7001-8000,808.2,473.1,654
8001-9000,1051.3,542.3,675
9001-10000,768.7,426.9,665
10001-11000,896.8,441.2,622
11001-12000,773.3,468.9,665
12001-13000,2408.6,537.8,669
13001-14000,971.2,509.0,668
14001-15000,854.3,560.8,657
15001-16000,1000.4,473.8,635
16001-17000,842.7,503.9,693
17001-18000,872.3,457.0,648
18001-19000,825.7,422.9,645
19001-20000,800.3,443.2,680
20001-21000,972.9,553.4,643
21001-22000,672.6,424.7,684
22001-23000,730.8,442.6,680
23001-24000,956.7,519.1,640
24001-25000,3422.6,572.1,647
25001-26000,654.8,377.7,667
26001-27000,1038.7,469.4,695
27001-28000,928.1,553.5,634
28001-29000,768.6,393.2,702
29001-30000,645.1,453.8,700
30001-31000,840.3,467.9,644
31001-32000,802.9,450.7,666
32001-33000,1747.8,572.0,679
33001-34000,791.4,425.8,669
34001-35000,935.3,500.4,609
35001-36000,866.5,465.3,687
36001-37000,590.3,359.1,698
37001-38000,797.8,431.1,689
38001-39000,1192.8,488.0,675
39001-40000,682.3,348.1,668
40001-41000,1330.5,561.0,684
41001-42000,961.9,522.3,617
42001-43000,1017.2,567.4,580
43001-44000,1001.5,526.8,644
44001-45000,855.6,475.2,701
45001-46000,774.5,371.0,654
46001-47000,831.4,513.3,698
47001-48000,717.0,428.2,685
48001-49000,834.9,473.1,666
49001-50000,760.5,421.2,662
50001-51000,775.9,466.6,671
51001-52000,773.1,475.1,686
52001-53000,788.7,461.0,655
53001-54000,1150.7,648.2,672
54001-55000,689.9,517.4,653
55001-56000,705.3,421.0,673
56001-57000,877.6,478.6,647
57001-58000,728.4,403.7,645
58001-59000,669.4,396.0,643
59001-60000,1220.7,592.7,660
60001-61000,994.3,592.2,657
61001-62000,679.7,390.8,693
62001-63000,1080.7,507.3,632
63001-64000,683.9,446.9,670
64001-65000,2506.4,639.8,644
65001-66000,1347.9,501.8,630
66001-67000,1305.1,469.3,649
67001-68000,778.8,424.9,671
68001-69000,754.4,425.3,671
69001-70000,864.9,524.0,633
70001-71000,982.6,512.3,661
71001-72000,806.3,492.5,682
72001-73000,777.7,486.3,657
73001-74000,812.4,466.0,678
74001-75000,796.7,517.7,649
75001-76000,667.4,382.7,667
76001-77000,770.1,426.1,689
77001-78000,817.3,386.8,666
78001-79000,722.8,403.8,669
79001-80000,983.4,534.7,660
80001-81000,747.2,432.7,633
81001-82000,893.0,504.5,661
82001-83000,810.8,484.7,639
83001-84000,947.6,453.2,648
84001-85000,1056.4,614.9,631
85001-86000,707.4,408.0,659
86001-87000,836.0,416.5,680
87001-88000,885.1,469.5,673
88001-89000,811.1,468.2,681
89001-90000,731.1,435.4,645
90001-91000,665.9,422.4,667
91001-92000,679.7,375.3,675
92001-93000,1022.7,470.0,666
93001-94000,877.6,519.8,651
94001-95000,940.2,584.3,677
95001-96000,922.1,508.0,646
96001-97000,2752.5,516.1,652
97001-98000,743.3,409.5,668
98001-99000,1184.2,481.4,671
99001-100000,974.8,546.4,667
100001-101000,842.3,483.9,675
101001-102000,913.5,512.9,665
102001-103000,867.2,479.2,656
103001-104000,949.8,528.8,635
104001-105000,776.5,483.1,680
105001-106000,921.8,508.2,655
106001-107000,971.7,540.6,675
107001-108000,1151.1,731.6,602
108001-109000,845.1,493.4,720
109001-110000,729.8,393.0,656
110001-111000,760.7,437.7,691
111001-112000,1140.5,540.5,629
112001-113000,936.4,569.3,651
113001-114000,2113.7,575.8,645
